date,tests,infected_total,infected_diff,death_total,death_diff
2020-05-19,6092,355,6,8,0
2020-05-18,5782,349,5,8,0
2020-05-17,5450,344,3,8,0
2020-05-16,5441,341,13,8,0
2020-05-15,4795,328,6,6,0
2020-05-14,4795,322,5,6,0
2020-05-13,4795,317,9,6,0
2020-05-12,4393,308,9,6,0
2020-05-11,4339,299,11,6,0
2020-05-10,4036,288,9,6,0
2020-05-09,4020,279,2,6,0
2020-05-08,3790,277,10,6,0
2020-05-07,3790,267,17,6,0
2020-05-06,3790,250,3,6,0
2020-05-05,3742,247,6,6,0
2020-05-04,3639,241,4,6,0
2020-05-03,3605,237,2,6,0
2020-05-02,3490,235,9,6,1
2020-05-01,3317,226,4,5,0
2020-04-30,3317,222,9,5,0
2020-04-29,3317,213,7,5,0
2020-04-28,3239,206,15,5,0
2020-04-27,3197,191,6,5,1
2020-04-26,3075,185,2,4,0
2020-04-25,3075,183,7,4,0
2020-04-24,3075,176,7,4,0
2020-04-23,3075,169,5,4,0
2020-04-22,2708,164,10,4,0
2020-04-21,2430,154,4,4,0
2020-04-20,2430,150,2,4,0
2020-04-19,2343,148,7,4,0
2020-04-18,2343,141,5,4,1
2020-04-17,2132,136,17,3,0
2020-04-16,2132,119,0,3,0
2020-04-15,2132,119,11,3,0
2020-04-14,2132,108,8,3,0
2020-04-13,2019,100,13,3,0
2020-04-12,1930,87,0,3,0
2020-04-11,1633,87,5,3,0
2020-04-10,1519,82,3,3,0
2020-04-09,1519,79,8,3,0
2020-04-08,1519,71,2,3,1
2020-04-07,1440,69,5,2,0
2020-04-06,1440,64,1,2,0
2020-04-05,1300,63,1,2,0
2020-04-04,1014,62,0,2,0
2020-04-03,1014,62,5,2,0
2020-04-02,1014,57,4,2,0
2020-04-01,1014,53,5,2,0
2020-03-31,938,48,6,2,1
2020-03-30,616,42,6,1,0
2020-03-29,452,36,4,1,0
2020-03-28,452,32,5,1,0
2020-03-27,403,27,3,1,0
2020-03-26,365,24,0,1,0
2020-03-25,365,24,4,1,0
2020-03-24,271,20,6,1,0
2020-03-23,271,14,3,1,0
2020-03-22,202,11,4,1,0
2020-03-21,202,7,2,1,1
2020-03-20,202,5,3,0,0
2020-03-19,100,2,0,0,0
2020-03-18,100,2,0,0,0
2020-03-17,100,2,2,0,0
